Error,GT,Prediction
7.528545379638672,29.0,21.471455
7.528545379638672,29.0,21.471455
7.528545379638672,29.0,21.471455
7.6188964843750036,29.000000000000004,21.381104
6.534929275512699,29.000000000000004,22.46507
6.686733245849609,29.0,22.313267
5.5569763183593786,29.000000000000004,23.443024
6.715242385864258,29.0,22.284758
4.83757209777832,28.0,23.162428
6.169384002685543,27.999999999999996,21.830616
5.535869598388672,28.0,22.46413
5.419109344482418,27.999999999999996,22.58089
5.601253509521484,28.0,22.398746
5.976638793945309,27.999999999999996,22.023361
5.415134429931641,28.0,22.584866
6.2163734436035085,27.999999999999993,21.783627
6.8726959228515625,29.0,22.127304
7.049137115478516,29.0,21.950863
6.362838745117191,29.000000000000004,22.637161
6.479398727416996,29.000000000000004,22.520601
5.348457336425781,29.0,23.651543
6.7268371582031286,29.000000000000004,22.273163
6.069381713867191,29.000000000000004,22.930618
5.13980865478516,29.000000000000004,23.860191
4.427890777587894,29.000000000000004,24.57211
5.5195922851562536,29.000000000000004,23.480408
4.96278190612793,29.0,24.037218
5.057380676269528,27.999999999999996,22.94262
5.23773193359375,28.0,22.762268
5.454235076904297,28.0,22.545765
5.050535202026374,28.000000000000007,22.949465
4.773014068603516,27.0,22.226986
4.690378189086914,27.0,22.309622
4.2382202148437464,26.999999999999996,22.76178
4.948322296142582,28.000000000000004,23.051678
4.997791290283207,28.000000000000004,23.002209
6.925651550292969,28.0,21.074348
7.366678237915039,28.0,20.633322
7.016941070556641,28.0,20.983059
4.5799655914306605,26.999999999999996,22.420034
4.155866622924805,27.0,22.844133
4.745037078857422,27.0,22.254963
4.230094909667972,27.000000000000004,22.769905
3.997585296630863,27.000000000000004,23.002415
4.792686462402344,28.0,23.207314
4.535701751708988,28.000000000000004,23.464298
6.265647888183594,28.0,21.734352
6.345859527587894,27.000000000000004,20.65414
5.51650238037109,26.999999999999996,21.483498
8.633775711059574,29.000000000000004,20.366224
7.521944046020504,29.999999999999996,22.478056
8.411857604980465,29.999999999999996,21.588142
7.603277206420898,29.0,21.396723
7.724636077880859,29.0,21.275364
7.232744216918949,28.000000000000004,20.767256
7.2221565246582,27.999999999999996,20.777843
6.582380294799808,27.000000000000004,20.41762
6.338399887084968,27.000000000000007,20.6616
6.796672821044925,27.000000000000004,20.203327
6.066404342651371,26.000000000000004,19.933596
5.8173980712890625,26.0,20.182602
4.627866744995121,26.000000000000004,21.372133
5.06855392456055,26.000000000000004,20.931446
4.627506256103516,26.0,21.372494
3.6956138610839773,25.999999999999993,22.304386
2.886245727539066,26.000000000000004,23.113754
2.553607940673821,25.999999999999993,23.446392
3.567417144775387,25.999999999999996,22.432583
4.225379943847656,26.0,21.77462
4.601972579956051,25.999999999999996,21.398027
4.286666870117191,26.000000000000004,21.713333
4.093105316162113,26.000000000000004,21.906895
2.736213684082024,25.999999999999993,23.263786
3.7965660095214844,26.0,22.203434
3.124956130981449,25.000000000000004,21.875044
3.8927536010742188,25.0,21.107246
4.318740844726573,26.00000000000001,21.68126
6.497394561767575,26.999999999999996,20.502605
6.6121215820312536,27.000000000000004,20.387878
6.146247863769524,26.999999999999993,20.853752
4.576240539550774,26.999999999999993,22.42376
3.4970207214355504,27.000000000000004,23.50298
4.140502929687493,26.999999999999993,22.859497
5.193496704101555,26.999999999999993,21.806503
5.255115509033207,27.000000000000004,21.744884
4.921392440795902,26.000000000000004,21.078608
4.97374153137207,26.0,21.026258
5.790498733520511,26.000000000000004,20.209501
5.218313217163086,26.0,20.781687
5.939603805541992,26.0,20.060396
5.45582199096679,25.999999999999993,20.544178
4.820911407470707,26.000000000000004,21.179089
5.07973670959473,26.000000000000004,20.920263
3.780284881591797,26.0,22.219715
2.313709259033203,26.0,23.68629
3.1424541473388707,26.000000000000004,22.857546
4.3204040527343714,25.999999999999996,21.679596
2.9197196960449148,24.999999999999993,22.08028
3.406702041625973,24.999999999999996,21.593298
3.312116622924801,24.999999999999996,21.687883
3.0115127563476562,25.0,21.988487
2.9829597473144602,25.000000000000007,22.01704
2.303756713867191,25.000000000000004,22.696243
1.840997695922848,24.999999999999996,23.159002
2.049253463745117,25.0,22.950747
2.5784950256347656,25.0,22.421505
1.5422840118408168,24.999999999999996,23.457716
1.860988616943363,25.000000000000004,23.139011
2.7430953979492116,24.999999999999993,22.256905
3.6102924346923793,24.999999999999996,21.389708
